wow;love;sentimentPreprocessRuntime;angry;sad;message;kerasPreprocessed;flinkClassifyRecievedAt;id;flinkPreprocesEnd;kafkaCreatedTime;sentimentClassifyRuntime;flinkPreprocesRecievedAt;flinkClassifyEnd;sentiment;haha
29;1169;1209482;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.808;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.235;2017-12-01T15:50:25.602868;25396456;2017-12-01T14:50:26.234;2017-12-01T14:50:26.834;1.5;136
29;1169;1181823;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.834;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.237;2017-12-01T15:50:25.602896;24918481;2017-12-01T14:50:26.236;2017-12-01T14:50:26.859;1.5;136
29;1169;1231472;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.859;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.238;2017-12-01T15:50:25.602927;24596704;2017-12-01T14:50:26.237;2017-12-01T14:50:26.884;1.5;136
29;1169;1217632;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.884;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.240;2017-12-01T15:50:25.602955;24461485;2017-12-01T14:50:26.239;2017-12-01T14:50:26.909;1.5;136
29;1169;1233735;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.909;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.242;2017-12-01T15:50:25.602983;28089766;2017-12-01T14:50:26.240;2017-12-01T14:50:26.937;1.5;136
29;1169;1195182;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.937;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.243;2017-12-01T15:50:25.603016;24643706;2017-12-01T14:50:26.242;2017-12-01T14:50:26.962;1.5;136
29;1169;1206495;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.962;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.245;2017-12-01T15:50:25.603043;24474557;2017-12-01T14:50:26.243;2017-12-01T14:50:26.987;1.5;136
29;1169;1207158;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.987;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.246;2017-12-01T15:50:25.603071;24594968;2017-12-01T14:50:26.245;2017-12-01T14:50:27.012;1.5;136
29;1169;1173653;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.012;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.248;2017-12-01T15:50:25.603101;24566975;2017-12-01T14:50:26.246;2017-12-01T14:50:27.037;1.5;136
29;1169;1196322;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.037;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.249;2017-12-01T15:50:25.603129;24697119;2017-12-01T14:50:26.248;2017-12-01T14:50:27.062;1.5;136
29;1169;1178341;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.062;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.251;2017-12-01T15:50:25.603169;23696848;2017-12-01T14:50:26.250;2017-12-01T14:50:27.086;1.5;136
29;1169;1178346;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.086;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.252;2017-12-01T15:50:25.603196;24193776;2017-12-01T14:50:26.251;2017-12-01T14:50:27.110;1.5;136
29;1169;1308910;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.110;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.254;2017-12-01T15:50:25.603223;24584105;2017-12-01T14:50:26.253;2017-12-01T14:50:27.135;1.5;136
29;1169;1199043;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.135;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.255;2017-12-01T15:50:25.603252;24488705;2017-12-01T14:50:26.254;2017-12-01T14:50:27.160;1.5;136
29;1169;1184279;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.160;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.257;2017-12-01T15:50:25.603279;24587475;2017-12-01T14:50:26.256;2017-12-01T14:50:27.185;1.5;136
29;1169;1178829;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.185;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.259;2017-12-01T15:50:25.603306;24539298;2017-12-01T14:50:26.257;2017-12-01T14:50:27.210;1.5;136
29;1169;1183202;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.210;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.260;2017-12-01T15:50:25.603336;24408641;2017-12-01T14:50:26.259;2017-12-01T14:50:27.234;1.5;136
29;1169;1225529;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.234;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.262;2017-12-01T15:50:25.603363;24671494;2017-12-01T14:50:26.260;2017-12-01T14:50:27.259;1.5;136
29;1169;1210990;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.259;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.263;2017-12-01T15:50:25.603393;24535764;2017-12-01T14:50:26.262;2017-12-01T14:50:27.284;1.5;136
29;1169;1224429;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.284;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.265;2017-12-01T15:50:25.603420;24710163;2017-12-01T14:50:26.263;2017-12-01T14:50:27.309;1.5;136
29;1169;1246366;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.309;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.266;2017-12-01T15:50:25.603446;24679465;2017-12-01T14:50:26.265;2017-12-01T14:50:27.334;1.5;136
29;1169;1187294;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.334;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.268;2017-12-01T15:50:25.603476;24526390;2017-12-01T14:50:26.267;2017-12-01T14:50:27.359;1.5;136
29;1169;1202308;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.359;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.269;2017-12-01T15:50:25.603503;24526645;2017-12-01T14:50:26.268;2017-12-01T14:50:27.384;1.5;136
29;1169;1176507;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.384;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.271;2017-12-01T15:50:25.603530;24741995;2017-12-01T14:50:26.270;2017-12-01T14:50:27.409;1.5;136
29;1169;1198820;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.409;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.272;2017-12-01T15:50:25.603560;24620583;2017-12-01T14:50:26.271;2017-12-01T14:50:27.434;1.5;136
29;1169;1240433;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.434;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.274;2017-12-01T15:50:25.603587;24982638;2017-12-01T14:50:26.273;2017-12-01T14:50:27.459;1.5;136
29;1169;1197959;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.459;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.276;2017-12-01T15:50:25.603616;24500950;2017-12-01T14:50:26.274;2017-12-01T14:50:27.484;1.5;136
29;1169;1281529;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.484;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.277;2017-12-01T15:50:25.603644;24676474;2017-12-01T14:50:26.276;2017-12-01T14:50:27.509;1.5;136
29;1169;1271946;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.509;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.279;2017-12-01T15:50:25.603670;24660151;2017-12-01T14:50:26.278;2017-12-01T14:50:27.534;1.5;136
29;1169;1241619;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.534;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.281;2017-12-01T15:50:25.603700;24509966;2017-12-01T14:50:26.279;2017-12-01T14:50:27.559;1.5;136
29;1169;1236506;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.559;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.282;2017-12-01T15:50:25.603737;24459124;2017-12-01T14:50:26.281;2017-12-01T14:50:27.584;1.5;136
29;1169;1200681;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.584;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.284;2017-12-01T15:50:25.603765;24629907;2017-12-01T14:50:26.282;2017-12-01T14:50:27.609;1.5;136
29;1169;1174603;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:27.609;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.285;2017-12-01T15:50:25.603795;24622669;2017-12-01T14:50:26.284;2017-12-01T14:50:27.634;1.5;136
